
 0.000000 	 4.307513

 0.693147 	 2.860506

 1.098612 	 2.343940

 1.386294 	 1.957483

 1.609438 	 1.655048

 1.791759 	 1.288110

 1.945910 	 1.045368

 2.079442 	 0.864607

 2.197225 	 0.653482

 2.302585 	 0.481511

 2.397895 	 0.400515

 2.484907 	 0.227578

 2.564949 	 0.011050

 2.639057 	 -0.011173

 2.708050 	 -0.156004

 2.772589 	 -0.346149

 2.833213 	 -0.594476

 2.890372 	 -0.542176

 2.944439 	 -0.542176

 2.995732 	 -0.778140

 3.044522 	 -0.907074

 3.091042 	 -0.685767

 3.135494 	 -0.916291

 3.178054 	 -0.862223

 3.218876 	 -0.888892

 3.258097 	 -1.098612

 3.295837 	 -1.132514

 3.332205 	 -1.132514

 3.367296 	 -1.335742

 3.401197 	 -1.241713

 3.433987 	 -1.424035

 3.465736 	 -1.609438

 3.496508 	 -1.408767

 3.526361 	 -1.555371

 3.555348 	 -1.791759

 3.583519 	 -1.573070

 3.610918 	 -1.706602

 3.637586 	 -1.609438

 3.663562 	 -1.628130

 3.688879 	 -1.884850

 3.713572 	 -1.748274

 3.737670 	 -2.014903

 3.761200 	 -1.748274

 3.784190 	 -2.266217

 3.806662 	 -1.960836

 3.828641 	 -2.379546

 3.850148 	 -2.164435

 3.871201 	 -1.987504

 3.891820 	 -2.164435

 3.912023 	 -1.909542

 3.931826 	 -2.072061

 3.951244 	 -2.420368

 3.970292 	 -2.379546

 3.988984 	 -2.379546

 4.007333 	 -2.653983

 4.025352 	 -2.266217

 4.043051 	 -2.340325

 4.060443 	 -2.420368

 4.077537 	 -2.420368

 4.094345 	 -2.164435

 4.110874 	 -2.653983

 4.127134 	 -2.420368

 4.143135 	 -2.420368

 4.158883 	 -2.379546

 4.174387 	 -2.825833

 4.189655 	 -2.602690

 4.204693 	 -2.507380

 4.219508 	 -3.033473

 4.234107 	 -2.765209

 4.248495 	 -3.806662

 4.262680 	 -2.890372

 4.276666 	 -2.708050

 4.290459 	 -2.825833

 4.304065 	 -2.553899

 4.317488 	 -3.033473

 4.330733 	 -3.033473

 4.343805 	 -2.553899

 4.356709 	 -3.295837

 4.369448 	 -2.959365

 4.382027 	 -3.518980

 4.394449 	 -3.518980

 4.406719 	 -2.553899

 4.418841 	 -3.113515

 4.430817 	 -2.708050

 4.442651 	 -3.033473

 4.454347 	 -3.401197

 4.465908 	 -3.113515

 4.477337 	 -2.890372

 4.488636 	 -2.959365

 4.499810 	 -3.200527

 4.510860 	 -3.113515

 4.521789 	 -3.200527

 4.532599 	 -3.200527

 4.543295 	 -3.518980

 4.553877 	 -3.806662

 4.564348 	 -3.033473

 4.574711 	 -2.890372

 4.584967 	 -3.518980

 4.595120 	 -3.295837

 4.605170 	 -3.113515

 4.615121 	 -2.959365

 4.624973 	 -3.518980

 4.634729 	 -3.113515

 4.644391 	 -3.295837

 4.653960 	 -3.518980

 4.663439 	 -3.200527

 4.672829 	 -3.200527

 4.682131 	 -3.806662

 4.691348 	 -4.499810

 4.700480 	 -3.113515

 4.709530 	 -3.518980

 4.718499 	 -3.518980

 4.727388 	 -3.518980

 4.736198 	 -3.518980

 4.744932 	 -3.200527

 4.753590 	 -3.652512

 4.762174 	 -3.806662

 4.770685 	 -3.518980

 4.779123 	 -3.652512

 4.787492 	 -4.212128

 4.795791 	 -3.113515

 4.804021 	 -4.905275

 4.812184 	 -3.518980

 4.820282 	 -3.401197

 4.828314 	 -3.518980

 4.836282 	 -3.295837

 4.844187 	 -3.988984

 4.852030 	 -3.652512

 4.859812 	 -4.212128

 4.867534 	 -3.518980

 4.875197 	 -3.806662

 4.882802 	 -3.652512

 4.890349 	 -4.499810

 4.897840 	 -3.988984

 4.905275 	 -3.652512

 4.912655 	 -3.806662

 4.919981 	 -3.518980

 4.927254 	 -3.518980

 4.934474 	 -3.806662

 4.941642 	 -3.200527

 4.948760 	 -3.113515

 4.955827 	 -4.905275

 4.962845 	 -3.988984

 4.969813 	 -3.806662

 4.976734 	 -3.988984

 4.983607 	 -4.905275

 4.990433 	 -4.212128

 4.997212 	 -3.652512

 5.003946 	 -3.988984

 5.010635 	 -3.988984

 5.017280 	 -4.212128

 5.023881 	 -3.988984

 5.030438 	 -3.988984

 5.036953 	 -4.905275

 5.043425 	 -4.905275

 5.049856 	 -3.806662

 5.056246 	 -3.806662

 5.062595 	 -3.806662

 5.068904 	 -3.652512

 5.075174 	 -3.988984

 5.081404 	 -3.806662

 5.087596 	 -3.652512

 5.093750 	 -4.212128

 5.099866 	 -4.212128

 5.105945 	 -3.652512

 5.111988 	 -3.401197

 5.117994 	 -3.652512

 5.123964 	 -3.806662

 5.129899 	 -3.806662

 5.135798 	 -3.988984

 5.141664 	 -3.988984

 5.147494 	 -4.905275

 5.153292 	 -3.806662

 5.159055 	 -5.598422

 5.164786 	 -4.499810

 5.170484 	 -4.499810

 5.176150 	 -4.499810

 5.181784 	 -3.806662

 5.187386 	 -5.598422

 5.192957 	 -4.212128

 5.198497 	 -4.212128

 5.204007 	 -4.905275

 5.209486 	 -4.212128

 5.214936 	 -4.905275

 5.220356 	 -3.518980

 5.225747 	 -3.988984

 5.231109 	 -4.905275

