
 0.693147 	 -1.035116	 -1.035116
 1.098612 	 -1.294357	 -1.294357
 1.386294 	 -1.368218	 -1.368218
 1.609438 	 -1.434987	 -1.434987
 1.791759 	 -1.499597	 -1.499597
 1.945910 	 -1.584506	 -1.584506
 2.079442 	 -1.560758	 -1.560758
 2.197225 	 -1.626245	 -1.626245
 2.302585 	 -1.632858	 -1.632858
 2.397895 	 -1.648721	 -1.648721
 2.484907 	 -1.640749	 -1.640749
 2.564949 	 -1.684684	 -1.684684
 2.639057 	 -1.734839	 -1.734839
 2.708050 	 -1.702890	 -1.702890
 2.772589 	 -1.728524	 -1.728524
 2.833213 	 -1.783901	 -1.783901
 2.890372 	 -1.694095	 -1.694095
 2.944439 	 -1.740226	 -1.740226
 2.995732 	 -1.788925	 -1.788925
 3.044522 	 -1.739647	 -1.739647
 3.091042 	 -1.779471	 -1.779471
 3.135494 	 -1.751509	 -1.751509
 3.178054 	 -1.792678	 -1.792678
 3.218876 	 -1.718522	 -1.718522
 3.258097 	 -1.752415	 -1.752415
 3.295837 	 -1.785085	 -1.785085
 3.332205 	 -1.827240	 -1.827240
 3.367296 	 -1.754713	 -1.754713
